"predicted_nutrient","experiment_num","measured_con","lm_predicted","gbm_predicted","hybrid_gbm_predicted"
"TN",1,1.01,1.29072655782855,0.971173649580604,1.04132238489512
"TN",1,0.81,0.673426208052627,0.714332335057307,0.745181458902748
"TN",1,0.91,0.557541188493268,0.73544952560758,0.670563873182536
"TN",1,0.88,0.545172640062198,0.486529219700839,0.455084229354329
"TN",1,1.8,0.619926111809026,1.02359619884957,1.13230533984152
"TN",1,0.78,0.551165691662967,0.796971774793834,0.853101933925015
"TN",1,1.15,0.544631058546826,0.577601721361583,0.48114949861824
"TN",1,0.69,0.548822942345432,0.843621038178867,0.773412232871125
"TN",1,0.59,0.556987320649227,0.89124467373436,0.921103529694237
"TN",1,0.81,0.56391035947428,1.03146048628483,1.14144132462508
"TN",1,1.85,0.814669345275024,1.42203741241688,1.24953805796497
"TN",1,0.71,0.577687466028659,0.965980915629059,0.921229569495866
"TN",1,0.84,0.573763708527271,0.852391106309428,0.865403595134875
"TN",1,1.45,0.94309818777625,1.05487566549274,1.21417819895276
"TN",1,0.67,0.567847354270932,0.530256992409166,0.707675785187943
"TN",1,0.58,0.552183986302099,0.592869841905647,0.59244152335055
"TN",1,0.47,0.545250052487629,0.489370992198422,0.591489355739478
"TN",1,0.39,0.544012768046653,0.465322857855929,0.498678662816818
"TN",1,1.66,0.546567750473878,0.402600672366316,0.48534316806981
"TN",1,2,0.559603238693863,1.22623930003533,1.28911312789951
"TN",1,2.27,0.549368691536783,0.982560409655209,1.05096968476332
"TN",1,1.3,0.574905377199963,0.845550352291781,0.9127413501205
"TN",1,0.64,0.563750246602951,0.922309827215711,0.8141024441732
"TN",1,2,0.809365769901961,1.463100275606,1.43107558465597
"TN",1,1.7,0.609539590499776,0.821504165968259,0.774429013478652
"TN",1,1,0.559921153210593,0.834479926756606,0.816059187196241
"TN",1,0.45,0.548277735307619,0.840089485732233,0.757380647357
"TN",1,0.76,0.543703886063437,0.713784423001187,0.494775746826445
"TN",1,1.8,0.693611230403357,1.3947368586348,1.04356028402449
"TN",1,1.078,0.734248995839479,0.65210831001362,0.869696899437318
"TN",1,0.65,0.670087899581186,0.800817319495416,0.849315503182633
"TN",1,0.41,0.590793692035247,0.467100902729875,0.515484905169995
"TN",1,0.32,0.574252717116028,0.456007269204309,0.418057968274579
"TN",1,1.3,0.581225279076781,0.696321781362732,0.95063266768371
"TN",1,0.85,1.115116841477,1.32788636099365,1.34841564532991
"TN",1,0.47,0.778924861504534,0.559825319306376,0.571969921749654
"TN",1,0.58,0.825380982834982,0.622561361834345,0.58340438431421
"TN",1,0.41,0.579659395372991,0.421724504185036,0.380339400945111
"TN",1,1.1,0.719388932648752,1.341157019546,1.14867543576714
"TN",1,2.1,0.880088943619878,1.43317094268844,1.54281896084264
"TN",1,0.77,1.24412289617535,0.928403955811811,0.847332321301815
"TN",1,1.5,0.571811835578106,0.954514855701926,0.893160096056161
"TN",1,0.44,0.611533411294293,0.421259970588913,0.482829730996743
"TN",1,0.32,0.546722983278532,0.382795471163348,0.363875935778576
"TN",1,0.31,0.569785694509965,0.416258012069726,0.340835085684964
"TN",1,2.1,1.21307345354964,1.0099764428036,1.02961487032892
"TN",1,0.55,0.699744157992189,0.696970743760098,0.730913183253036
"TN",1,0.48,0.801475074261846,0.601858957036357,0.579128214860561
"TN",1,0.37,0.598476730798088,0.397038362552009,0.485221795265489
"TN",1,0.42,0.569138847297487,0.353585040702676,0.362593566300095
"TN",1,0.37,0.558809241521146,0.358369259208329,0.369044208187558
"TN",1,0.085,0.545792248799536,0.291922161529281,0.272949057959177
"TN",1,0.43,0.555802312527468,0.403080961134541,0.578261432960517
"TN",1,1,0.645893348411089,1.11466810910908,1.03939993515892
"TN",1,1.3,0.594158627377479,0.804163804905238,0.849518134622508
"TN",1,1.2,0.591465150774458,0.63731580268937,0.766832218085931
"TN",1,1.1,0.587698095089455,0.732150047450702,0.855249564749394
"TN",1,0.92,0.573030977085806,0.719699272140225,0.782379891144546
"TN",1,0.81,0.571487169716982,0.61831293824252,0.657494875156458
"TN",1,1.1,0.588366036357535,0.675669481709379,0.907086462199649
"TN",1,0.36,0.584369748079738,0.545604337865517,0.597085089988717
"TN",1,0.61,0.579741705562485,0.5519529844621,0.559232482920985
"TN",1,0.65,0.581803249131556,0.814987614260106,0.719839660811224
"TN",1,1.4,0.73906034941637,0.891578589623399,0.784432888228415
"TN",1,0.62,0.603254333873984,0.582375304474674,0.590385800661215
"TN",1,0.79,0.606173609305548,0.668704106520648,0.713905279480807
"TN",1,0.41,0.653364588108688,0.447388201327955,0.448674767780209
"TN",1,0.52,0.635522778873849,0.553523592059053,0.651941452644696
"TN",1,0.79,0.565594289191996,0.402168361253408,0.60031312270213
"TN",1,0.35,0.554619826291242,0.34122616251026,0.383597586378873
"TN",1,0.61,0.551557121367166,0.349790436121915,0.347176503822101
"TN",1,0.39,0.54983690868709,0.340851799475356,0.339589299419971
"TN",1,0.24,0.549134732500352,0.348173744656436,0.3458158183356
"TN",1,0.25,0.548044240875509,0.269282829933164,0.26733813065296
"TN",1,0.35,0.548822942345432,0.371095101312729,0.499901281214698
"TN",1,0.39,0.551557121367166,0.301697148519311,0.468207393950394
"TN",1,0.21,0.554777345253328,0.275604383683094,0.316621456396341
"TN",1,0.58,0.636787334207286,0.548666250034307,0.85260866018585
"TN",1,0.71,0.592894536126291,0.994817511494291,1.03981674902784
"TN",1,0.28,0.602740628772245,0.576915809487458,0.671161082141912
"TN",1,0.42,0.604454681856272,0.484733068619615,0.58118571657788
"TN",1,0.65,0.673043847132239,0.654874985095006,0.690980057093869
"TN",1,0.45,0.624431481996958,0.71298671119322,0.987859805548773
"TN",1,0.55,0.635522778873849,0.657778586025401,0.528829924990669
"TN",1,0.52,0.609972476481643,0.517945335972988,0.447328654923788
"TN",1,0.65,0.62425418600645,0.649364229911012,0.623239209824689
"TN",1,0.64,0.646076790194158,0.589798951088832,0.598511635582289
"TN",1,1.1,0.759701021028221,0.878209665309114,0.781614575829735
"TN",1,0.47,0.67610882543685,0.733187208569123,0.717109098261214
"TN",1,0.86,0.661485541223614,0.733187208569123,0.717109098261214
"TN",1,0.86,0.632192813778105,0.752021725675637,0.720690373036553
"TN",1,0.26,0.617817199263283,0.47497047111893,0.440665531831121
"TN",1,0.21,0.606862548699191,0.523602752939099,0.411143352346475
"TN",1,0.34,0.589536759790309,0.3994622638742,0.353661115035499
"TN",1,0.35,0.586114772919933,0.387688041211328,0.347620711950583
"TN",1,0.28,0.556355002745813,0.297910571775316,0.285763004335139
"TN",1,0.37,0.553204162270181,0.30484680683086,0.291336749264126
"TN",1,0.35,0.55406886056209,0.29244247356688,0.332464784655736
"TN",1,0.21,0.553990195335028,0.3175098092092,0.337147265363774
"TN",1,0.36,0.55210558942443,0.366557961803494,0.386598344793788
"TN",1,0.53,0.54812206105725,0.362860058469107,0.366052193787114
"TN",1,0.39,0.543781089931429,0.303097741119008,0.271309357524915
"TN",1,0.16,0.543781089931429,0.268079652877632,0.276698078135086
"TN",1,0.17,0.54447642043877,0.274145267338986,0.279532845260693
"TN",1,0.91,0.562950365417549,0.48988098707238,0.571121594135887
"TN",1,0.53,0.561672915328374,0.503349604692126,0.613741455139239
"TN",1,1.4,0.569543040507083,0.50731526709162,0.607443746833794
"TN",1,1.4,0.62027829617219,0.907018261902054,0.800877086583792
"TN",1,1.2,1.17293174900337,0.758647574995719,0.942815679835162
"TN",1,0.52,0.676300848793015,0.749602979970397,0.627578986074088
"TN",1,0.41,0.564631429190768,0.350737303816954,0.316166089709356
"TN",1,0.39,0.555250172102858,0.333232010341047,0.307547862769952
"TN",1,0.89,0.546334984271116,0.417142227885282,0.47318804482212
"TN",1,0.68,0.547966431742367,0.476957448584922,0.381261401782347
"TN",1,0.56,0.548978815655785,0.389250848167313,0.342333241265289
"TN",1,0.59,0.550461819274846,0.361971378539071,0.377610138724635
"TN",1,0.2,0.549758845038129,0.403448108564124,0.379130879602382
"TN",1,0.54,0.549758845038129,0.368833043976368,0.379130879602382
"TN",1,0.58,0.601458279041956,0.86136710886628,0.865623997546209
"TN",1,0.71,0.59839176065941,1.19943758900807,0.676750805801974
"TN",1,1.2,0.665631046193543,1.24651500321165,0.447056647723369
"TN",1,0.59,0.802841822300706,1.25756505922012,1.17944161856656
"TN",1,1.5,0.934832376867035,1.13661425044698,1.21113182864482
"TN",1,1,0.712881359702155,0.810174290339686,0.830694911489459
"TN",1,0.43,0.654385843545089,0.753995685435589,0.705286720006106
"TN",1,0.6,0.616327728875334,0.576997915556163,0.787771144550978
"TN",1,0.35,0.605915458821678,0.464090373425114,0.423120175774711
"TN",1,0.55,0.602312875096535,0.476195987272052,0.500560717248585
"TN",1,0.36,0.573356519994701,0.336866302500528,0.330097700200193
"TN",1,0.26,0.565273153556947,0.337077629647444,0.344721762832637
"TN",1,0.33,0.563190210609004,0.323817977592149,0.345268845096824
"TN",1,0.55,0.561354006188376,0.323698141367576,0.342657228801002
"TN",1,0.14,0.55564450254452,0.266467885852363,0.271694347148169
"TN",1,0.41,0.551557121367166,0.264400293520941,0.314933854678419
"TN",1,0.2,0.550305524890534,0.257817963172549,0.292402433682822
"TN",1,0.32,0.549758845038129,0.255600012271998,0.282752741020806
"TN",1,0.23,0.549056768543563,0.290307728570375,0.286216528196499
"TN",1,0.31,0.546722983278532,0.229755433405152,0.260936065302574
"TN",1,0.18,0.546490150966948,0.242903067519842,0.223400551466103
"TN",1,0.17,0.545637280261298,0.245328027773657,0.21168067831323
"TN",1,0.17,0.545404911047821,0.245328027773657,0.216528105813318
"TN",1,0.22,0.545250052487629,0.245328027773657,0.221808961572205
"TN",1,0.16,0.545095237896924,0.252172192295576,0.258468634144472
"TN",1,0.26,0.544321825507887,0.368349726029963,0.362495144728793
"TN",1,0.35,0.544399117850529,0.35396697542783,0.433497191989296
"TN",1,0.16,0.544399117850529,0.361866091155665,0.439601003661887
"TN",1,0.21,0.544321825507887,0.38428722872644,0.49058998645185
"TN",1,0.3,0.544399117850529,0.361866091155665,0.439601003661887
"TN",1,0.3,0.544090015774704,0.372768042473069,0.275475450786672
"TN",1,0.33,0.551243955817547,0.495697300004298,0.26453451479626
"TN",1,0.47,0.550696342978985,0.498686241802915,0.628613776293975
